0.78627320.12   -0.09820220.12   -0.14015020.12   0.00138020.12
0.78102620.12   -0.10113220.12   -0.14495020.12   0.00073620.12
0.77858720.12   -0.10248720.12   -0.14718120.12   0.00018120.12
0.77905120.12   -0.10223020.12   -0.14675620.12   -0.00035220.12
0.78240220.12   -0.10036620.12   -0.14369220.12   -0.00092820.12
0.78850420.12   -0.09695020.12   -0.13810920.12   -0.00161420.12
0.79709120.12   -0.09209420.12   -0.13024820.12   -0.00247320.12
0.80774320.12   -0.08598820.12   -0.12047620.12   -0.00355920.12
0.81988520.12   -0.07890420.12   -0.10928620.12   -0.00491620.12
0.83282120.12   -0.07118720.12   -0.09726120.12   -0.00657120.12
0.84580820.12   -0.06321720.12   -0.08500920.12   -0.00853120.12
0.85815820.12   -0.05535920.12   -0.07307720.12   -0.01079120.12
0.86931620.12   -0.04791020.12   -0.06188120.12   -0.01334420.12
0.87891820.12   -0.04106320.12   -0.05167220.12   -0.01618520.12
0.88678120.12   -0.03490820.12   -0.04254120.12   -0.01932420.12
0.89286520.12   -0.02944620.12   -0.03445020.12   -0.02278820.12
0.89721620.12   -0.02461720.12   -0.02728420.12   -0.02662320.12
0.89991420.12   -0.02033020.12   -0.02088620.12   -0.03089320.12
0.90103120.12   -0.01648120.12   -0.01508920.12   -0.03568220.12
0.90061620.12   -0.01296720.12   -0.00972920.12   -0.04109620.12
0.89867420.12   -0.00969020.12   -0.00465620.12   -0.04725920.12
0.89517320.12   -0.00655920.12   0.00026920.12   -0.05431520.12
0.89004520.12   -0.00349320.12   0.00516920.12   -0.06242120.12
0.88320420.12   -0.00041720.12   0.01015120.12   -0.07173420.12
0.87458120.12   0.00272820.12   0.01530020.12   -0.08238520.12
0.86416520.12   0.00598320.12   0.02066320.12   -0.09443920.12
0.85205920.12   0.00936420.12   0.02624120.12   -0.10784520.12
0.83853820.12   0.01284920.12   0.03197620.12   -0.12238420.12
0.82407320.12   0.01637820.12   0.03774320.12   -0.13765020.12
0.80930820.12   0.01985420.12   0.04336620.12   -0.15306420.12
0.79498620.12   0.02316020.12   0.04864320.12   -0.16794820.12
0.78184820.12   0.02617520.12   0.05338120.12   -0.18162320.12
0.77053120.12   0.02879820.12   0.05741820.12   -0.19350020.12
0.76151720.12   0.03094920.12   0.06064320.12   -0.20313420.12
0.75512520.12   0.03258120.12   0.06298920.12   -0.21022920.12
